family,front_type,budget,view,quantile,parameter,parameter_kind,observed_n,elite_n,observed_unique,elite_unique,dominant_category,dominant_share
RWA3D,extremePointsFronts,1000,EP,0.1,offspringPopulationSize,categorical,204,21,5,4,5,0.3333333333333333
RWA3D,extremePointsFronts,1000,EP,0.2,offspringPopulationSize,categorical,204,41,5,4,5,0.3170731707317073
RWA3D,extremePointsFronts,1000,HV,0.05,offspringPopulationSize,categorical,204,11,5,4,1,0.45454545454545453
RWA3D,extremePointsFronts,1000,HV,0.1,offspringPopulationSize,categorical,204,21,5,5,1,0.38095238095238093
RWA3D,extremePointsFronts,1000,HV,0.2,offspringPopulationSize,categorical,204,41,5,5,1,0.3170731707317073
RWA3D,extremePointsFronts,1000,joint,0.05,offspringPopulationSize,categorical,204,11,5,3,1,0.45454545454545453
RWA3D,extremePointsFronts,1000,joint,0.1,offspringPopulationSize,categorical,204,21,5,3,5,0.42857142857142855
RWA3D,extremePointsFronts,1000,joint,0.2,offspringPopulationSize,categorical,204,41,5,4,5,0.3902439024390244
RWA3D,extremePointsFronts,1000,EP,0.05,selection,categorical,204,11,5,3,boltzmann,0.45454545454545453
RWA3D,extremePointsFronts,1000,EP,0.1,selection,categorical,204,21,5,4,stochasticUniversalSampling,0.42857142857142855
RWA3D,extremePointsFronts,1000,EP,0.2,selection,categorical,204,41,5,5,boltzmann,0.34146341463414637
RWA3D,extremePointsFronts,1000,HV,0.05,selection,categorical,204,11,5,3,stochasticUniversalSampling,0.45454545454545453
RWA3D,extremePointsFronts,1000,HV,0.1,selection,categorical,204,21,5,3,stochasticUniversalSampling,0.38095238095238093
RWA3D,extremePointsFronts,1000,HV,0.2,selection,categorical,204,41,5,5,ranking,0.43902439024390244
RWA3D,extremePointsFronts,1000,joint,0.05,selection,categorical,204,11,5,3,stochasticUniversalSampling,0.5454545454545454
RWA3D,extremePointsFronts,1000,joint,0.1,selection,categorical,204,21,5,4,stochasticUniversalSampling,0.5238095238095238
RWA3D,extremePointsFronts,1000,joint,0.2,selection,categorical,204,41,5,4,stochasticUniversalSampling,0.43902439024390244
RWA3D,extremePointsFronts,1000,EP,0.05,variation,categorical,204,11,1,1,crossoverAndMutationVariation,1.0
RWA3D,extremePointsFronts,1000,EP,0.1,variation,categorical,204,21,1,1,crossoverAndMutationVariation,1.0
RWA3D,extremePointsFronts,1000,EP,0.2,variation,categorical,204,41,1,1,crossoverAndMutationVariation,1.0
RWA3D,extremePointsFronts,1000,HV,0.05,variation,categorical,204,11,1,1,crossoverAndMutationVariation,1.0
RWA3D,extremePointsFronts,1000,HV,0.1,variation,categorical,204,21,1,1,crossoverAndMutationVariation,1.0
RWA3D,extremePointsFronts,1000,HV,0.2,variation,categorical,204,41,1,1,crossoverAndMutationVariation,1.0
RWA3D,extremePointsFronts,1000,joint,0.05,variation,categorical,204,11,1,1,crossoverAndMutationVariation,1.0
RWA3D,extremePointsFronts,1000,joint,0.1,variation,categorical,204,21,1,1,crossoverAndMutationVariation,1.0
RWA3D,extremePointsFronts,1000,joint,0.2,variation,categorical,204,41,1,1,crossoverAndMutationVariation,1.0
RE3D,referenceFronts,1000,EP,0.05,algorithmResult,categorical,230,12,1,1,externalArchive,1.0
RE3D,referenceFronts,1000,EP,0.1,algorithmResult,categorical,230,23,1,1,externalArchive,1.0
RE3D,referenceFronts,1000,EP,0.2,algorithmResult,categorical,230,46,1,1,externalArchive,1.0
RE3D,referenceFronts,1000,HV,0.05,algorithmResult,categorical,230,12,1,1,externalArchive,1.0
RE3D,referenceFronts,1000,HV,0.1,algorithmResult,categorical,230,23,1,1,externalArchive,1.0
RE3D,referenceFronts,1000,HV,0.2,algorithmResult,categorical,230,46,1,1,externalArchive,1.0
RE3D,referenceFronts,1000,joint,0.05,algorithmResult,categorical,230,12,1,1,externalArchive,1.0
RE3D,referenceFronts,1000,joint,0.1,algorithmResult,categorical,230,23,1,1,externalArchive,1.0
RE3D,referenceFronts,1000,joint,0.2,algorithmResult,categorical,230,46,1,1,externalArchive,1.0
RE3D,referenceFronts,1000,EP,0.05,archiveType,categorical,230,12,1,1,unboundedArchive,1.0
RE3D,referenceFronts,1000,EP,0.1,archiveType,categorical,230,23,1,1,unboundedArchive,1.0
RE3D,referenceFronts,1000,EP,0.2,archiveType,categorical,230,46,1,1,unboundedArchive,1.0
RE3D,referenceFronts,1000,HV,0.05,archiveType,categorical,230,12,1,1,unboundedArchive,1.0
RE3D,referenceFronts,1000,HV,0.1,archiveType,categorical,230,23,1,1,unboundedArchive,1.0
RE3D,referenceFronts,1000,HV,0.2,archiveType,categorical,230,46,1,1,unboundedArchive,1.0
RE3D,referenceFronts,1000,joint,0.05,archiveType,categorical,230,12,1,1,unboundedArchive,1.0
RE3D,referenceFronts,1000,joint,0.1,archiveType,categorical,230,23,1,1,unboundedArchive,1.0
RE3D,referenceFronts,1000,joint,0.2,archiveType,categorical,230,46,1,1,unboundedArchive,1.0
RE3D,referenceFronts,1000,EP,0.05,createInitialSolutions,categorical,230,12,6,5,cauchy,0.4166666666666667
RE3D,referenceFronts,1000,EP,0.1,createInitialSolutions,categorical,230,23,6,5,cauchy,0.391304347826087
RE3D,referenceFronts,1000,EP,0.2,createInitialSolutions,categorical,230,46,6,6,cauchy,0.3695652173913043
RE3D,referenceFronts,1000,HV,0.05,createInitialSolutions,categorical,230,12,6,3,cauchy,0.75
RE3D,referenceFronts,1000,HV,0.1,createInitialSolutions,categorical,230,23,6,5,cauchy,0.6086956521739131
RE3D,referenceFronts,1000,HV,0.2,createInitialSolutions,categorical,230,46,6,6,cauchy,0.5652173913043478
RE3D,referenceFronts,1000,joint,0.05,createInitialSolutions,categorical,230,12,6,4,cauchy,0.5
RE3D,referenceFronts,1000,joint,0.1,createInitialSolutions,categorical,230,23,6,5,cauchy,0.4782608695652174
RE3D,referenceFronts,1000,joint,0.2,createInitialSolutions,categorical,230,46,6,5,cauchy,0.4782608695652174
RE3D,referenceFronts,1000,EP,0.05,crossover,categorical,230,12,4,4,BLX-alpha-beta,0.5
RE3D,referenceFronts,1000,EP,0.1,crossover,categorical,230,23,4,4,BLX-alpha,0.5652173913043478
RE3D,referenceFronts,1000,EP,0.2,crossover,categorical,230,46,4,4,BLX-alpha,0.6086956521739131
RE3D,referenceFronts,1000,HV,0.05,crossover,categorical,230,12,4,2,BLX-alpha-beta,0.9166666666666666
RE3D,referenceFronts,1000,HV,0.1,crossover,categorical,230,23,4,2,BLX-alpha-beta,0.8260869565217391
RE3D,referenceFronts,1000,HV,0.2,crossover,categorical,230,46,4,2,BLX-alpha-beta,0.717391304347826
RE3D,referenceFronts,1000,joint,0.05,crossover,categorical,230,12,4,2,BLX-alpha,0.6666666666666666
RE3D,referenceFronts,1000,joint,0.1,crossover,categorical,230,23,4,2,BLX-alpha,0.5652173913043478
RE3D,referenceFronts,1000,joint,0.2,crossover,categorical,230,46,4,2,BLX-alpha,0.5652173913043478
RE3D,referenceFronts,1000,EP,0.05,crossoverRepairStrategy,categorical,230,12,3,3,bounds,0.6666666666666666
RE3D,referenceFronts,1000,EP,0.1,crossoverRepairStrategy,categorical,230,23,3,3,bounds,0.782608695652174
RE3D,referenceFronts,1000,EP,0.2,crossoverRepairStrategy,categorical,230,46,3,3,bounds,0.8260869565217391
RE3D,referenceFronts,1000,HV,0.05,crossoverRepairStrategy,categorical,230,12,3,2,bounds,0.75
RE3D,referenceFronts,1000,HV,0.1,crossoverRepairStrategy,categorical,230,23,3,3,bounds,0.7391304347826086
RE3D,referenceFronts,1000,HV,0.2,crossoverRepairStrategy,categorical,230,46,3,3,bounds,0.6956521739130435
RE3D,referenceFronts,1000,joint,0.05,crossoverRepairStrategy,categorical,230,12,3,2,bounds,0.75
RE3D,referenceFronts,1000,joint,0.1,crossoverRepairStrategy,categorical,230,23,3,3,bounds,0.782608695652174
RE3D,referenceFronts,1000,joint,0.2,crossoverRepairStrategy,categorical,230,46,3,3,bounds,0.8478260869565217
RE3D,referenceFronts,1000,EP,0.05,mutation,categorical,230,12,4,2,levyFlight,0.5833333333333334
RE3D,referenceFronts,1000,EP,0.1,mutation,categorical,230,23,4,2,levyFlight,0.7391304347826086
RE3D,referenceFronts,1000,EP,0.2,mutation,categorical,230,46,4,3,levyFlight,0.6739130434782609
